,log_ret,volatility
123,0.006460341336742053,
124,0.0034005473759303696,
125,-0.0034491420216673317,
126,0.0034168547511645754,
127,-0.007920383119695616,
128,0.002116092003114343,
129,0.0009751644142983806,
130,0.00741230598016378,
131,0.006573274863714257,
132,0.0012966274245002289,
133,0.0027000487159976397,
134,-0.00311608667611085,
135,-0.003109699377589104,
136,-0.009176981696210798,
137,-0.02277889199216563,
138,-0.013047057024816604,
139,-0.019929583563608886,
140,-0.0002912896871920442,
141,0.022049700900386625,
142,-0.009651419565087966,
143,0.0006597794878970105,
144,-0.013983826283687018,
145,0.020306655050781063,
146,-0.008388405100063,
147,-0.013463098322951169,
148,-0.046412924874406555,
149,0.015428036970710516,
150,0.0131496883102081,
151,0.0020614678682146005,
152,0.009310763229559238,
153,0.015066743777538872,
154,0.005774125502306874,
155,0.00162431914678792,
156,0.0011996001736142093,
157,0.004061243598025038,
158,0.00048762624007596416,
159,-0.007779228819748285,
160,0.002385749457071282,
161,-0.001539123353958004,
162,0.007184666281100737,
163,0.013371061124687575,
164,0.0040047462439282405,
165,-0.00208315262684473,
166,-0.0030664221382163607,
167,-0.0057604464136925175,
168,0.0034669568445608256,
169,-0.003567105407396445,
170,-0.008199076111575224,
171,0.017324700142838618,
172,-0.0036967516486134827,
173,0.011476487453488896,
174,0.007247051728969673,
175,0.0047807214127371265,
176,-0.0036241170896483127,
177,0.0029263008847493954,
178,0.0013951458018852247,
179,-0.00029182875452710583,
180,0.012072330278466685,
181,0.02445104488639521,
182,-0.012396156909033567,
183,-0.007914039359841779,
184,-0.024125189598201414,
185,-0.001226570609715297,
186,0.014346372709075753,
187,-0.005516002888679596,
188,0.0004703273930206593,
189,-0.025950362456768,
190,-0.0010487810572073857,
191,0.017632977461317506,
192,0.0015698669973264392,
193,-0.0030275333904415873,
194,0.0013594058114968764,
195,0.005402950481154706,
196,0.00663599185490871,
197,-0.0030448430948078822,
198,-9.728935092523417e-05,
199,0.012990341751470917,
200,0.005827636271128159,
201,-0.0063882433213607905,
202,0.00011209059674715857,
203,0.0016647180478969155,
204,0.007679234104570459,
205,-0.03204359562055347,
206,0.0018173589520346961,
207,-0.0040978922808718185,
208,0.0020018873884926074,
209,0.005492757351928887,
210,-0.020821788828006716,
211,4.996561961755247e-05,
212,0.014491918477260507,
213,-0.01477493068439594,
214,-0.015030263415603854,
215,0.001097914870006583,
216,-0.000912067547607969,
217,-0.019572862190984506,
218,-0.006205681257872169,
219,-0.011720685740520294,
220,-0.0007547045736708968,
221,-0.022119341785863715,
222,0.007617628650564742,
223,-0.0005345740817802109,
224,0.02714756343574946,
225,0.0014212893759984661,
226,0.008348677036610174,
227,0.008092093050031392,
228,-0.01225766710131074,
229,-0.007583801963628249,
230,0.011010454322545297,
231,0.00018901940253882493,
232,0.008420458319596648,
233,0.00855286315730524,
234,-0.00698615617072131,
235,-0.03214396906075586,
236,0.008904326565609834,
237,0.010085082964803229,
238,-0.0031774584962917093,
239,-0.0013673348388519454,
240,-0.011777316398742606,
241,0.009887754646046172,
242,0.0038620839307541097,
243,-0.08625883850545421,
244,-0.0073000993915302795,
245,-0.010130080939643736,
246,0.008020992904802578,
247,-0.0011990075685164542,
248,-9.520673404701935e-05,
249,0.014690123676957118,
250,0.009228739924677029,
251,0.00039034333263493476,
252,0.011330270329127536,0.2737740330915638
253,-0.010234093908831236,0.27381524300020615
254,-0.008709136308846559,0.26990231564146344
255,0.0035525413559095113,0.2698453445127172
256,-0.0028410016815593893,0.26894204308280756
257,0.001926065017971417,0.2687021223158229
258,0.004436215505120907,0.2628161026330798
259,0.009219312005021135,0.2618105932697408
260,-0.013375398559901077,0.26205936723612505
261,-0.0007472987973267638,0.26184587077108423
262,-0.010332668515530715,0.26197007724720056
263,-0.02124186974224139,0.2628423800544987
264,0.02295886196463685,0.26312731222322167
265,-0.0012261242847361846,0.2630032800863273
266,0.002714286217956655,0.25987552709509876
267,-0.013683815073579818,0.2601739025684437
268,-0.010820997368243143,0.2602071173342975
269,-0.0002508106946529328,0.2602072489311537
270,0.0027169271119659904,0.26019172921149186
271,-0.0029678046029085817,0.2583810025504152
272,0.005331885183482085,0.258231224542687
273,0.015468119489132941,0.25858009420555994
274,-0.006485765846544717,0.25770809211032614
275,0.004669431812250031,0.25659657930571533
276,-0.009475426065482071,0.2564019212846886
277,-0.003869204494789127,0.25499752892078514
278,-0.003903595352278147,0.25502552592742433
279,0.0002696759001291572,0.2540036713359322
280,-0.00471080597078458,0.25263676066990853
281,-0.014071048461349937,0.2530250222425436
282,-0.009425838244739675,0.2529632756250944
283,0.007185889484318922,0.2512653728956377
284,-0.01071874668186009,0.2514120486678379
285,-0.005142949498423666,0.25145366419122916
286,-0.03115772788610153,0.2533770065663437
287,-0.0009075889176660978,0.2523162996495328
288,0.017226687705205374,0.2528604642573312
289,-0.012224558503670591,0.2530083646999772
290,-0.014040332157172755,0.25298095717404423
291,-0.01118214733024996,0.25317798614860243
292,0.016540317670813397,0.2537128736903648
293,0.0222242681335611,0.2517023155350625
294,0.007909490840007546,0.25092651961696905
295,0.017551123051689804,0.25117751414869977
296,0.028520271038243415,0.2526199522205183
297,0.021662555155263705,0.25348098682488274
298,0.005469244029496092,0.2515967593992332
299,0.02077780207478178,0.2520462094291212
300,-0.027092539722624084,0.25251698594007266
301,-0.008892918895477116,0.25210088900998423
302,0.012682783037282465,0.25091194053415133
303,0.007927150518445041,0.2509944718762101
304,-0.0174667512583877,0.2515737998053488
305,0.12208018960175956,0.26974608778054177
